Site,Latitude,Longitude,HWA,EHS,SSM,Total,HWA relative,EHS relative,SSM relative
MA Winchendon 3,42.68198,-72.1337667,0,0.02,0.56,0.58,0,0.034482759,0.965517241
MA Northfield 12,42.64445,-72.34185,0,0.08,0.18,0.26,0,0.307692308,0.692307692
MA Williamsburg 4,42.47807,-72.5005667,1.36,2.84,0.72,4.92,0.276422764,0.577235772,0.146341463
MA Shutesbury 1,42.50078,-72.44,0.08,1.7,0.5,2.28,0.035087719,0.745614035,0.219298246
MA Greenfield 6,42.52315,-72.6916167,1.38,2.66,0.22,4.26,0.323943662,0.624413146,0.051643192
MA Bernardston 10,42.69237,-72.6165167,0.54,2.66,0.76,3.96,0.136363636,0.671717172,0.191919192
MA Bernardston 5,42.65457,-72.6877833,1.12,2.1,0.26,3.48,0.32183908,0.603448276,0.074712644
MA Warren 1,42.1918,-72.1269667,0.7,2.42,0.02,3.14,0.222929936,0.770700637,0.006369427
MA Easthampton 4,42.29928,-72.7356333,0.16,2.28,0.04,2.48,0.064516129,0.919354839,0.016129032
MA Mt. Tom 3,42.20945,-72.71175,1.06,2.98,0.92,4.96,0.213709677,0.600806452,0.185483871
MA Southbridge 5,42.11328,-72.15865,2.1,2.98,0.52,5.6,0.375,0.532142857,0.092857143
MA Windsor Locks 1,42.26498,-72.2999833,0.58,2.26,0.63,3.47,0.167146974,0.65129683,0.181556196
MA Mt. Holyoke 3,42.25678,-72.5012667,0.44,2.8,0.98,4.22,0.104265403,0.663507109,0.232227488
MA Mt. Tom 1,42.12832,-72.6771167,1.94,3,0.9,5.84,0.332191781,0.51369863,0.154109589
MA Hampden 3,42.06645,-72.42115,0.28,2.56,0.06,2.9,0.096551724,0.882758621,0.020689655
CT WIN 2,41.99305,-72.728,1.46,2.96,1.8,6.22,0.234726688,0.475884244,0.289389068
CT MHA 8,41.61227,-72.5849833,0.42,2.62,0.88,3.92,0.107142857,0.668367347,0.224489796
CT MHA 1,41.56203,-72.5895167,0.26,2.42,0.86,3.54,0.073446328,0.683615819,0.242937853
CT CLI 2,41.3293,-72.6119,0.2,1.96,1.44,3.6,0.055555556,0.544444444,0.4
CT HAM 4,41.47807,-72.3405333,0.82,2.24,0.28,3.34,0.245508982,0.670658683,0.083832335
CT LYM 2,41.33193,-72.3316,0.95,1.57,0.95,3.47,0.273775216,0.452449568,0.273775216
CT DEE 10,41.39203,-72.4497,2.58,1.74,0.78,5.1,0.505882353,0.341176471,0.152941176
CT MOO 4,41.55385,-72.4420833,0.18,2.02,0.12,2.32,0.077586207,0.870689655,0.051724138
CT MOO 22,41.51923,-72.46785,2.42,2.8,0.92,6.14,0.394136808,0.456026059,0.149837134
CT MOO 7,41.53535,-72.4590333,0.18,1.86,0.04,2.08,0.086538462,0.894230769,0.019230769
CT MOO 3,41.5786,-72.4084333,0.26,2.72,0.02,3,0.086666667,0.906666667,0.006666667
CT STA 20,41.9292,-72.2581333,0.56,2.2,0.08,2.84,0.197183099,0.774647887,0.028169014
CT MAR 1,41.63377,-72.4349,0.14,2.02,0.04,2.2,0.063636364,0.918181818,0.018181818
CT ELL 9,41.96833,-72.3974833,0.82,2.94,0.4,4.16,0.197115385,0.706730769,0.096153846
CT STA 24,41.9645,-72.31055,0.52,2.96,0.44,3.92,0.132653061,0.755102041,0.112244898
NH SUL 1,43.014901,-72.217532,0,0,0.74,0.74,0,0,1
NH MARLOW 1 (alt),43.15056,-72.12639,0,0,1.06,1.06,0,0,1
NH PIL 1,43.21972,-72.11833,0,0,1.26,1.26,0,0,1
NH FIT 1,42.765,-72.18556,0,0,0.06,0.06,0,0,1
NH FIT 2,42.73861,-72.21278,0,0,0,0,0,0,0
NH WIN 2,42.777153,-72.37076,0,0.02,0.04,0.06,0,0.333333333,0.666666667
NH WIN 1,42.79,-72.44417,0,0,0.04,0.04,0,0,1
NH HIN 3,42.781513,-72.476789,0,0.08,0,0.08,0,1,0
NH WES 2,42.87528,-72.5275,0.02,0,0,0.02,1,0,0
VT GUI 1,42.81417,-72.56528,0.05,0.05,0,0.1,0.5,0.5,0
NH HAN 1,42.95639,-72.00611,0.08,0,0.44,0.52,0.153846154,0,0.846153846
NH HIN 2 (VT VER 1),42.74889,-72.49222,0,0.38,0.12,0.5,0,0.76,0.24
NH KEE 1,42.96472,-72.23139,0,0,0.2,0.2,0,0,1
NH MAR 1,42.91,-72.19361,0,0,0.02,0.02,0,0,1
NH DUB 1,42.88222,-72.01556,0,0,1.3,1.3,0,0,1
